起始,区段名,需安装,系统字体,备注
0000..,Basic Latin,Noto Unicode 7.3 ⊃ Ctrl Ctrl 1.11,,一般不必覆盖控制字
0080..,Latin-1 Supplement,Noto Unicode ⊃ Ctrl Ctrl,,一般不必覆盖控制字
0100..,Latin Extended-A,Noto Unicode,Arial 7.00，等,或可精简
0180..,Latin Extended-B,Noto Unicode,Arial，等,或可精简
0250..,IPA Extensions,Noto Unicode,Arial，等,或可精简
02B0..,Spacing Modifier Letters,Noto Unicode,Arial，等,或可精简
0300..,Combining Diacritical Marks,Noto Unicode,Arial，等,或可精简
0370..,Greek and Coptic,Noto Unicode,Arial，等,或可精简
0400..,Cyrillic,Noto Unicode,Arial，等,或可精简
0500..,Cyrillic Supplement,Noto Unicode,Arial，等,或可精简
0530..,Armenian,Noto Unicode,Calibri 6.23,或可精简
0590..,Hebrew,Noto Unicode,Segoe UI 5.62,或可精简
0600..,Arabic,Noto Unicode,,Noto2.011有误且u061C为空白
0700..,Syriac,,Segoe UI Historic 1.03,
0750..,Arabic Supplement,Noto Unicode,Arial，等,或可精简
0780..,Thaana,,MV Boli 6.84,
07C0..,NKo,,Ebrima 5.14,
0800..,Samaritan,Noto Unicode,,
0840..,Mandaic,Noto Unicode,,
0860..,Syriac Supplement,Noto Unicode,,！
0870..,Arabic Extended-B,Noto Unicode,,Noto2.011补全
08A0..,Arabic Extended-A,Noto Unicode,,Noto2.011补全
0900..,Devanagari,Noto Unicode,Nirmala UI 1.40,或可精简
0980..,Bengali,Noto Unicode,Nirmala UI,或可精简，但Noto更美观些
0A00..,Gurmukhi,Noto Unicode,Nirmala UI,或可精简，但Noto更美观些
0A80..,Gujarati,Noto Unicode,Nirmala UI,或可精简，但Noto更美观些
0B00..,Oriya,Noto Unicode,,Nirmala、Noto2.003都缺字，补之
0B80..,Tamil,,Nirmala UI,
0C00..,Telugu,Noto Unicode,,Nirmala、Noto2.003都缺字，补之
0C80..,Kannada,Noto Unicode,,Nirmala、Noto2.003都缺字，补之
0D00..,Malayalam,Noto Unicode,,Nirmala缺1字
0D80..,Sinhala,Noto Unicode,,
0E00..,Thai,,Leelawadee UI 5.05,
0E80..,Lao,Noto Unicode,,Leelawadee、Noto1.001(Loop)都缺字，补之
0F00..,Tibetan,Noto Unicode,,微软Himalaya故意缺4个卍字
1000..,Myanmar,,Myanmar Text 1.18,
10A0..,Georgian,,Calibri，等,NotoUni曾有
1100..,Hangul Jamo,,Malgun Gothic 6.68,
1200..,Ethiopic,,Ebrima,
1380..,Ethiopic Supplement,,Ebrima,
13A0..,Cherokee,,Gadugi 1.12,
1400..,Unified Canadian Aboriginal Syllabics,,Gadugi,
1680..,Ogham,,Segoe UI Historic,
16A0..,Runic,Noto Unicode ⊃ Ctrl Runr β6,,
1700..,Tagalog,Noto Unicode,,
1720..,Hanunoo,Noto Unicode,,
1740..,Buhid,Noto Unicode,,
1760..,Tagbanwa,Noto Unicode,,
1780..,Khmer,,Leelawadee UI,
1800..,Mongolian,Noto Unicode,,
18B0..,Unified Canadian Aboriginal Syllabics Extended,,Gadugi,
1900..,Limbu,Noto Unicode,,
1950..,Tai Le,,Microsoft Tai Le 6.00,
1980..,New Tai Lue,,Microsoft New Tai Lue 5.99,
19E0..,Khmer Symbols,,Leelawadee UI,
1A00..,Buginese,,Leelawadee UI,
1A20..,Tai Tham,Noto Unicode,,
1AB0..,Combining Diacritical Marks Extended,Noto Unicode,,Noto2.008~.010缺字(26/31)，补之
1B00..,Balinese,Noto Unicode,,
1B80..,Sundanese,Noto Unicode,,
1BC0..,Batak,Noto Unicode,,
1C00..,Lepcha,Noto Unicode,,
1C50..,Ol Chiki,,Nirmala UI,
1C80..,Cyrillic Extended-C,Noto Unicode,,
1C90..,Georgian Extended,,Calibri，等,NotoUni曾有
1CC0..,Sundanese Supplement,Noto Unicode,,
1CD0..,Vedic Extensions,Noto Unicode,,
1D00..,Phonetic Extensions,Noto Unicode,Arial，等,或可精简
1D80..,Phonetic Extensions Supplement,Noto Unicode,Arial，等,或可精简
1DC0..,Combining Diacritical Marks Supplement,Noto Unicode,,
1E00..,Latin Extended Additional,Noto Unicode,Arial，等,或可精简
1F00..,Greek Extended,Noto Unicode,Arial，等,或可精简
2000..,General Punctuation,Noto Unicode,Tahoma 7.00，等,或可精简
2070..,Superscripts and Subscripts,Noto Unicode,Tahoma，等,或可精简
20A0..,Currency Symbols,Noto Unicode,,
20D0..,Combining Diacritical Marks for Symbols,Noto Unicode,Segoe UI Symbol 6.23,或可精简
2100..,Letterlike Symbols,Noto Unicode,Segoe UI Symbol，等,或可精简
2150..,Number Forms,Noto Unicode,Tahoma，等,或可精简
2190..,Arrows,,Segoe UI Symbol，等,
2200..,Mathematical Operators,,Segoe UI Symbol，等,
2300..,Miscellaneous Technical,Noto Unicode,,SegoeUI Sym.、Noto都缺字，补之
2400..,Control Pictures,,Segoe UI Symbol,
2440..,Optical Character Recognition,,Segoe UI Symbol,
2460..,Enclosed Alphanumerics,,Segoe UI Symbol，等,
2500..,Box Drawing,,Segoe UI Symbol，等,
2580..,Block Elements,,Segoe UI Symbol,
25A0..,Geometric Shapes,,Segoe UI Symbol，等,
2600..,Miscellaneous Symbols,,Segoe UI Symbol,
2700..,Dingbats,,Segoe UI Symbol,
27C0..,Miscellaneous Mathematical Symbols-A,,Cambria 6.99，等,NotoUni曾有
27F0..,Supplemental Arrows-A,,Segoe UI Symbol，等,
2800..,Braille Patterns,,Segoe UI Symbol,
2900..,Supplemental Arrows-B,,Segoe UI Symbol，等,
2980..,Miscellaneous Mathematical Symbols-B,,Segoe UI Symbol，等,
2A00..,Supplemental Mathematical Operators,,Segoe UI Symbol，等,
2B00..,Miscellaneous Symbols and Arrows,Noto Unicode,,
2C00..,Glagolitic,Noto Unicode,,SegoeUI His.、Noto2.000~.002都缺字，补之
2C60..,Latin Extended-C,Noto Unicode,Arial，等,或可精简
2C80..,Coptic,,Segoe UI Symbol，等,
2D00..,Georgian Supplement,,Calibri，等,NotoUni曾有
2D30..,Tifinagh,,Ebrima,
2D80..,Ethiopic Extended,,Ebrima,
2DE0..,Cyrillic Extended-A,Noto Unicode,Segoe UI，等,或可精简
2E00..,Supplemental Punctuation,Noto Unicode,,
2E80..,CJK Radicals Supplement,Monu Hani 9.6,微软雅黑 6.25，等,系统字体都不区分“⺫⺲”
2F00..,Kangxi Radicals,Monu Hani,微软雅黑，等,系统字体难以与汉字区分
2FF0..,Ideographic Description Characters,Monu Hani ⊃ Ctrl Ctrl,,微软雅黑等缺字
3000..,CJK Symbols and Punctuation,Monu Hani ⊃ Ctrl Ctrl,微软雅黑，等,系统字体有误字
3040..,Hiragana,,微软雅黑，等,
30A0..,Katakana,,微软雅黑，等,
3100..,Bopomofo,Monu Hani,,
3130..,Hangul Compatibility Jamo,,Malgun Gothic,
3190..,Kanbun,,微软雅黑，等,
31A0..,Bopomofo Extended,Monu Hani,,思源缺字，补之：从NotoUni迁来
31C0..,CJK Strokes,Monu Hani ⊃ Ctrl Ctrl,,思源缺字误字，补之改之
31F0..,Katakana Phonetic Extensions,,微软雅黑，等,
3200..,Enclosed CJK Letters and Months,Monu Hani,,
3300..,CJK Compatibility,,Yu Gothic 1.90，等,
3400..,CJK Unified Ideographs Extension A,Monu Hani,,思源缺字，补之
4DC0..,Yijing Hexagram Symbols,,Segoe UI Symbol,
4E00..,CJK Unified Ideographs,Monu Hani,,思源缺字，补之
A000..,Yi Syllables,,Microsoft Yi Baiti 6.00,
A490..,Yi Radicals,,Microsoft Yi Baiti,
A4D0..,Lisu,,Segoe UI,
A500..,Vai,,Ebrima,
A640..,Cyrillic Extended-B,Noto Unicode,Segoe UI，等,系统字体都有错字
A6A0..,Bamum,Noto Unicode,,
A700..,Modifier Tone Letters,,Segoe UI,NotoUni曾有
A720..,Latin Extended-D,Noto Unicode,,
A800..,Syloti Nagri,Noto Unicode,,
A830..,Common Indic Number Forms,Noto Unicode,Nirmala UI,或可精简，但Noto更美观些
A840..,Phags-pa,,Microsoft PhagsPa 6.00,
A880..,Saurashtra,Noto Unicode,,
A8E0..,Devanagari Extended,Noto Unicode,Nirmala UI,或可精简
A900..,Kayah Li,Noto Unicode,,
A930..,Rejang,Noto Unicode,,
A960..,Hangul Jamo Extended-A,,Malgun Gothic,
A980..,Javanese,,Javanese Text 1.10,
A9E0..,Myanmar Extended-B,,Myanmar Text,
AA00..,Cham,Noto Unicode,,
AA60..,Myanmar Extended-A,,Myanmar Text,
AA80..,Tai Viet,Noto Unicode,,
AAE0..,Meetei Mayek Extensions,Noto Unicode,,
AB00..,Ethiopic Extended-A,,Ebrima,
AB30..,Latin Extended-E,Noto Unicode,,
AB70..,Cherokee Supplement,,Gadugi,
ABC0..,Meetei Mayek,,Nirmala UI,
AC00..,Hangul Syllables,,Malgun Gothic,
D7B0..,Hangul Jamo Extended-B,,Malgun Gothic,
D800..,High Surrogates,Monu Last 8,,不是字
DB80..,High Private Use Surrogates,Monu Last,,不是字
DC00..,Low Surrogates,Monu Last,,不是字
E000..,Private Use Area,Monu Last,,私用区
F900..,CJK Compatibility Ideographs,Monu Hani,,思源缺百余字，补之
FB00..,Alphabetic Presentation Forms,Noto Unicode,Arial，等,
FB50..,Arabic Presentation Forms-A,Noto Unicode,,Noto2.011补全但有误
FE00..,Variation Selectors,Noto Unicode ⊃ Ctrl Ctrl,,
FE10..,Vertical Forms,,微软雅黑，等,
FE20..,Combining Half Marks,Noto Unicode,,
FE30..,CJK Compatibility Forms,,微软雅黑，等,
FE50..,Small Form Variants,,微软雅黑，等,
FE70..,Arabic Presentation Forms-B,Noto Unicode,Segoe UI，等,只是大多字体都把BOM(ZWNBSP)做成ZWSP
FF00..,Halfwidth and Fullwidth Forms,,Microsoft JhengHei 6.14，等,
FFF0..,Specials,Noto Unicode,,
10000.,Linear B Syllabary,Noto Unicode,,
10080.,Linear B Ideograms,Noto Unicode,,
10100.,Aegean Numbers,Noto Unicode,,
10140.,Ancient Greek Numbers,Noto Unicode,,
10190.,Ancient Symbols,Noto Unicode,,
101D0.,Phaistos Disc,Noto Unicode,,
10280.,Lycian,,Segoe UI Historic,
102A0.,Carian,,Segoe UI Historic,
102E0.,Coptic Epact Numbers,Noto Unicode,,
10300.,Old Italic,Noto Unicode,,
10330.,Gothic,,Segoe UI Historic,
10350.,Old Permic,Noto Unicode,,
10380.,Ugaritic,,Segoe UI Historic,
103A0.,Old Persian,,Segoe UI Historic,
10400.,Deseret,,Segoe UI Symbol,
10450.,Shavian,,Segoe UI Historic,
10480.,Osmanya,,Ebrima,
104B0.,Osage,,Gadugi,
10500.,Elbasan,Noto Unicode,,
10530.,Caucasian Albanian,Noto Unicode,,
10570.,Vithkuqi,Noto Unicode,,
10600.,Linear A,Noto Unicode,,
10780.,Latin Extended-F,Noto Unicode,,
10800.,Cypriot Syllabary,,Segoe UI Historic,
10840.,Imperial Aramaic,,Segoe UI Historic,
10860.,Palmyrene,Noto Unicode,,
10880.,Nabataean,Noto Unicode,,
108E0.,Hatran,Noto Unicode,,
10900.,Phoenician,,Segoe UI Historic,
10920.,Lydian,,Segoe UI Historic,
10980.,Meroitic Hieroglyphs,Noto Unicode,,
109A0.,Meroitic Cursive,Noto Unicode,,
10A00.,Kharoshthi,Noto Unicode,,
10A60.,Old South Arabian,,Segoe UI Historic,
10A80.,Old North Arabian,Noto Unicode,,
10AC0.,Manichaean,Noto Unicode,,
10B00.,Avestan,Noto Unicode,,
10B40.,Inscriptional Parthian,,Segoe UI Historic,
10B60.,Inscriptional Pahlavi,,Segoe UI Historic,
10B80.,Psalter Pahlavi,Noto Unicode,,
10C00.,Old Turkic,,Segoe UI Historic,SegoeUI His.的u10C47有误
10C80.,Old Hungarian,Noto Unicode,,
10D00.,Hanifi Rohingya,Noto Unicode,,
10E60.,Rumi Numeral Symbols,Noto Unicode,,
10E80.,Yezidi,Noto Unicode,,
10EC0.,Arabic Extended-C,Noto Unicode,,Last有1个，Noto2.011补全但写法不同
10F00.,Old Sogdian,Noto Unicode,,
10F30.,Sogdian,Noto Unicode,,
10F70.,Old Uyghur,Noto Unicode,,
10FB0.,Chorasmian,Noto Unicode,,
10FE0.,Elymaic,Noto Unicode,,
11000.,Brahmi,Noto Unicode,,SegoeUI His.、Noto2.003都缺或误字，改之
11080.,Kaithi,Noto Unicode,,Noto2.001~.004缺字，补之
110D0.,Sora Sompeng,,Nirmala UI,
11100.,Chakma,Noto Unicode,,Nirmala缺1字
11150.,Mahajani,Noto Unicode,,
11180.,Sharada,Noto Unicode,,
111E0.,Sinhala Archaic Numbers,Noto Unicode,Nirmala UI,或可精简，但Noto更美观些
11200.,Khojki,Noto Unicode,,Noto2.001~.003缺字，补之
11280.,Multani,Noto Unicode,,
112B0.,Khudawadi,Noto Unicode,,
11300.,Grantha,Noto Unicode,,
11400.,Newa,Noto Unicode,,
11480.,Tirhuta,Noto Unicode,,
11580.,Siddham,Noto Unicode,,
11600.,Modi,Noto Unicode,,
11660.,Mongolian Supplement,Noto Unicode,,
11680.,Takri,Noto Unicode,,Noto2.002~.003缺字，补之
11700.,Ahom,Noto Unicode,,Noto2.003~.005缺字，补之
11800.,Dogra,Noto Unicode,,
118A0.,Warang Citi,Noto Unicode,,
11900.,Dives Akuru,Noto Unicode,,
119A0.,Nandinagari,Noto Unicode,,
11A00.,Zanabazar Square,Noto Unicode,,
11A50.,Soyombo,Noto Unicode,,
11AB0.,Unified Canadian Aboriginal Syllabics Extended-A,Noto Unicode,,
11AC0.,Pau Cin Hau,Noto Unicode,,
11B00.,Devanagari Extended-A,Monu Temp 0.93,,！Noto完全没有，在补，Last有1个
11C00.,Bhaiksuki,Noto Unicode,,
11C70.,Marchen,Noto Unicode,,
11D00.,Masaram Gondi,Noto Unicode,,
11D60.,Gunjala Gondi,Noto Unicode,,
11EE0.,Makasar,Noto Unicode,,
11F00.,Kawi,Noto Unicode,,Noto偷跑版缺1字，补之
11FB0.,Lisu Supplement,Noto Unicode,,
11FC0.,Tamil Supplement,Noto Unicode,,
12000.,Cuneiform,Noto Unicode,,SegoeUI His.缺1字
12400.,Cuneiform Numbers and Punctuation,,Segoe UI Historic,
12480.,Early Dynastic Cuneiform,Noto Unicode,,
12F90.,Cypro-Minoan,Noto Unicode,,
13000.,Egyptian Hieroglyphs,Noto Unicode,,SegoeUI His.、Noto都缺或误字，改之
13430.,Egyptian Hieroglyph Format Controls,Noto Unicode ⊃ Ctrl Ctrl,,
14400.,Anatolian Hieroglyphs,Noto Unicode,,
16800.,Bamum Supplement,Noto Unicode,,
16A40.,Mro,Noto Unicode,,
16A70.,Tangsa,Noto Unicode,,
16AD0.,Bassa Vah,Noto Unicode,,
16B00.,Pahawh Hmong,Noto Unicode,,
16E40.,Medefaidrin,Noto Unicode,,
16F00.,Miao,Noto Unicode,,
16FE0.,Ideographic Symbols and Punctuation,Noto Unicode,,
17000.,Tangut,Noto Serif Tangut 2.169,,
18800.,Tangut Components,Noto Serif Tangut,,
18B00.,Khitan Small Script,Noto Unicode,,
18D00.,Tangut Supplement,Noto Serif Tangut,,
1AFF0.,Kana Extended-B,Monu Hani ⊃ Ctrl Kana 1.1,,思源完全没有，原创之
1B000.,Kana Supplement,Monu Temp,,！思源完全没有，Last有1个，Monu有2个
1B100.,Kana Extended-A,Monu Temp,,！思源完全没有，Last有1个，Monu有4个
1B130.,Small Kana Extension,Monu Hani ⊃ Monu 12,,思源完全没有，补之
1B170.,Nushu,Noto Unicode,,
1BC00.,Duployan,Noto Unicode,,
1BCA0.,Shorthand Format Controls,Noto Unicode,,
1CF00.,Znamenny Musical Notation,Noto Unicode,,
1D000.,Byzantine Musical Symbols,Noto Unicode,,
1D100.,Musical Symbols,Noto Unicode ⊃ Ctrl Ctrl,,SegoeUI Sym.、Noto2.002都(?)缺字，补之
1D200.,Ancient Greek Musical Notation,Noto Unicode,,
1D2C0.,Kaktovik Numerals,Noto Unicode ⊃ Ctrl Math 1,,Noto完全没有，原创之
1D2E0.,Mayan Numerals,Noto Unicode,,
1D300.,Tai Xuan Jing Symbols,,Segoe UI Symbol,
1D360.,Counting Rod Numerals,Noto Unicode,,Noto字形有修
1D400.,Mathematical Alphanumeric Symbols,,Segoe UI Symbol，等,
1D800.,Sutton SignWriting,Noto Unicode,,
1DF00.,Latin Extended-G,Noto Unicode,,Noto2.010缺字(31/37)，补之
1E000.,Glagolitic Supplement,Noto Unicode,,
1E030.,Cyrillic Extended-D,Noto Unicode,,Noto完全没有，补之
1E100.,Nyiakeng Puachue Hmong,Noto Unicode,,
1E290.,Toto,Noto Unicode,,
1E2C0.,Wancho,Noto Unicode,,
1E4D0.,Nag Mundari,Noto Unicode,,Last有1个
1E7E0.,Ethiopic Extended-B,Noto Unicode,,
1E800.,Mende Kikakui,Noto Unicode,,
1E900.,Adlam,,Ebrima,NotoUni曾有
1EC70.,Indic Siyaq Numbers,Noto Unicode,,
1ED00.,Ottoman Siyaq Numbers,Noto Unicode,,Last有1个
1EE00.,Arabic Mathematical Alphabetic Symbols,Noto Unicode,,
1F000.,Mahjong Tiles,,Segoe UI Emoji 1.29，等,
1F030.,Domino Tiles,,Segoe UI Symbol,
1F0A0.,Playing Cards,,Segoe UI Symbol,
1F100.,Enclosed Alphanumeric Supplement,Noto Unicode,,
1F200.,Enclosed Ideographic Supplement,Monu Hani,,NotoUni曾有
1F300.,Miscellaneous Symbols and Pictographs,Noto Unicode,,Noto2.001字形有修，SegoeUI Sym.缺1字
1F600.,Emoticons,,Segoe UI Emoji，等,
1F650.,Ornamental Dingbats,,Segoe UI Symbol,
1F680.,Transport and Map Symbols,Noto Unicode,,Noto2.001字形有修，SegoeUI Sym.缺15字
1F700.,Alchemical Symbols,Noto Unicode,,SegoeUI Sym.、Noto2.002都缺字，补之
1F780.,Geometric Shapes Extended,Noto Unicode,,
1F800.,Supplemental Arrows-C,Noto Unicode,,
1F900.,Supplemental Symbols and Pictographs,Noto Unicode,,Noto2.001字形有修，SegoeUI Emj.缺26字
1FA00.,Chess Symbols,Noto Unicode,,
1FA70.,Symbols and Pictographs Extended-A,Noto Unicode,,Noto2.001字形有修
1FB00.,Symbols for Legacy Computing,Noto Unicode,,
20000.,CJK Unified Ideographs Extension B,Monu Han2 6.399,,
2A700.,CJK Unified Ideographs Extension C,Monu Han2,,
2B740.,CJK Unified Ideographs Extension D,Monu Han2,SimSun-ExtB 5.03，等,或可精简，但欠黑体
2B820.,CJK Unified Ideographs Extension E,Monu Han2,,
2CEB0.,CJK Unified Ideographs Extension F,Monu Han2,,
2EBF0.,CJK Unified Ideographs Extension I,Monu Han2,,
2F800.,CJK Compatibility Ideographs Supplement,Monu Han2,,
30000.,CJK Unified Ideographs Extension G,Monu Han3 1.175,,
31350.,CJK Unified Ideographs Extension H,Monu Han3,,
E0000.,Tags,Noto Unicode ⊃ Ctrl Ctrl,,
E0100.,Variation Selectors Supplement,Noto Unicode ⊃ Ctrl Ctrl,,
F0000.,Supplementary Private Use Area-A,Monu Last,,私用区
100000,Supplementary Private Use Area-B,Monu Last,,私用区